id = 20; sex = female; age = 19; condition = 2; responseOrder = 0_1; featureOrder = 0_1,,,,,,
trial,x1,x2,y,response,time,correct
1,89.26525902,115.134972,0,0,1.4348979,1
2,66.52464537,100.6297552,0,0,1.724757195,1
3,90.06854035,99.97585187,0,1,1.486670017,0
4,134.2542754,109.5526142,1,0,1.701905966,0
5,75.84232176,100.7725294,0,0,1.134789944,1
6,112.2301429,85.41916775,1,0,2.234093905,0
7,135.0769384,99.79902976,1,1,2.940244913,1
8,115.4841024,88.88411551,1,0,2.627800941,0
9,100.8259051,85.1042405,1,0,3.451489925,0
10,135.5666427,98.82798218,1,0,2.003467083,0
11,109.2908542,126.98112,0,0,2.234750986,1
12,88.86529259,123.0878729,0,1,2.876739025,0
13,87.38804211,113.8304398,0,1,1.655821085,0
14,113.5716192,94.38455104,1,1,2.477734089,1
15,97.99572109,132.4883772,0,0,0.96756196,1
16,124.3381428,101.6995137,1,1,1.002151966,1
17,129.4479067,100.2311057,1,0,0.902215958,0
18,120.2709253,127.4553432,0,0,1.401274204,1
19,115.863175,108.4699359,1,0,1.68723321,0
20,120.3740682,98.22284367,1,1,0.682950974,1
21,126.1201494,103.2318273,1,0,1.074119091,0
22,108.2112024,87.71096467,1,1,0.70066905,1
23,96.31407233,124.8158458,0,0,1.520479918,1
24,128.0968256,109.1837229,1,1,1.336361885,1
25,155.8418204,108.0582287,1,0,1.481466055,0
26,87.53585849,136.8425091,0,0,0.985031843,1
27,69.22879433,92.71320923,0,1,4.522000074,0
28,105.9956307,134.5112922,0,0,0.870061159,1
29,90.33416826,82.18325666,1,1,1.478821039,1
30,118.2416061,95.00800652,1,1,1.569267035,1
31,112.1407256,93.07571718,1,1,1.141243935,1
32,96.71125154,118.5443141,0,0,1.068910837,1
33,106.158862,78.16959709,1,1,1.001546144,1
34,98.1584601,112.5426964,0,1,0.95301199,0
35,85.15949298,119.4103761,0,0,0.88649106,1
36,106.0452684,74.66483282,1,1,0.820261955,1
37,82.08713151,103.1703404,0,1,0.868221998,0
38,76.20906113,110.9779285,0,0,0.718949795,1
39,127.0869727,107.93247,1,0,0.735321045,0
40,74.65140668,98.11384546,0,1,0.768474102,0
41,86.57523053,116.7044904,0,0,0.694519997,1
42,71.72008458,117.5624531,0,0,0.816789865,1
43,115.2240926,98.75502593,1,1,0.78354311,1
44,124.4799216,70.58890133,1,1,1.111544132,1
45,98.04672947,126.2164732,0,0,0.601382971,1
46,113.2205337,141.7538435,0,0,0.691975832,1
47,126.4243503,110.4172337,1,0,0.768748045,0
48,127.9787557,101.8795135,1,1,5.116934776,1
49,124.2434048,142.0757012,0,0,0.568130016,1
50,95.77556734,114.5990579,0,0,0.696711063,1
51,107.645297,85.16920795,1,1,0.634682894,1
52,123.7083071,98.2201933,1,0,0.608922005,0
53,125.4917653,104.352259,1,0,0.665064096,0
54,122.4303288,97.42414999,1,1,0.915029049,1
55,102.3895072,131.7163014,0,0,0.470273018,1
56,124.4877113,139.6731175,0,0,0.67862606,1
57,79.94821308,97.30823925,0,1,0.888968945,0
58,98.13168949,133.5147436,0,0,0.717999935,1
59,97.61631018,129.7633541,0,0,2.016682863,1
60,111.4223022,150.9638869,0,0,0.686742067,1
61,93.62854712,137.6453877,0,0,0.672683001,1
62,101.3508225,136.419794,0,0,0.502224922,1
63,126.6141435,88.30746338,1,1,0.701071024,1
64,112.3357351,93.64825388,1,1,1.035697937,1
65,131.7536031,100.7618911,1,1,1.374451876,1
66,132.6993687,85.01485194,1,1,0.617266893,1
67,83.46873289,116.1928804,0,0,0.479475975,1
68,124.8546447,137.1123171,0,0,0.467958927,1
69,110.0471998,82.62761354,1,1,0.730759859,1
70,124.0098802,132.6264533,0,0,0.500084877,1
71,120.2696457,95.05888432,1,1,0.723045111,1
72,90.83400561,113.576782,0,1,0.851424932,0
73,80.90639749,116.4073494,0,0,0.779593945,1
74,110.9188153,124.6665952,0,0,0.995012999,1
